"Event_ID","Status_Scrape","Scrape_Date","Event_Name","Event_Date"
3756,"Tournament Results Collected",2016-01-28,"SK Telecom Open",2007-05-27
3757,"Tournament Results Collected",2016-01-28,"the Memorial Tournament",2007-06-03
3758,"Tournament Results Collected",2016-01-28,"LaSalle Bank Open",2007-06-03
3759,"Tournament Results Collected",2016-01-28,"The Celtic Manor Wales Open",2007-06-03
3760,"Tournament Results Collected",2016-01-28,"Oceanico Developments Pro-Am Challenge",2007-06-03
3761,"Tournament Results Collected",2016-01-28,"JCB Classic",2007-06-03
3762,"Tournament Results Collected",2016-01-28,"Stanford St. Jude Championship",2007-06-10
3763,"Tournament Results Collected",2016-01-28,"The Rex Hospital Open",2007-06-10
3764,"Tournament Results Collected",2016-01-28,"BA-CA Golf Open Presented by Telekom Austria ",2007-06-10
3765,"Tournament Results Collected",2016-01-28,"Vodafone Challenge",2007-06-10
3766,"Tournament Results Collected",2016-01-28,"Bangkok Airways Open",2007-06-10
3767,"Tournament Results Collected",2016-01-28,"US OPEN CHAMPIONSHIP",2007-06-17
3768,"Tournament Results Collected",2016-01-28,"Rochester Area Charities Showdown",2007-06-17
3769,"Tournament Results Collected",2016-01-28,"Open De Saint-Omer",2007-06-17
3770,"Tournament Results Collected",2016-01-28,"Times Colonist Open",2007-06-17
3771,"Tournament Results Collected",2016-01-28,"Travelers Championship",2007-06-24
3772,"Tournament Results Collected",2016-01-28,"Knoxville Open Presented by Food City",2007-06-24
3773,"Tournament Results Collected",2016-01-28,"BMW International Open",2007-06-24
3774,"Tournament Results Collected",2016-01-28,"Credit Suisse Challenge",2007-06-24
3775,"Tournament Results Collected",2016-01-28,"Mizuno Open Yomiuri Classic",2007-06-24
3776,"Tournament Results Collected",2016-01-28,"Greater Vancouver Charity Classic",2007-06-24
3777,"Tournament Results Collected",2016-01-28,"Buick Open",2007-07-01
3778,"Tournament Results Collected",2016-01-28,"Peek'n Peak Classic",2007-07-01
3779,"Tournament Results Collected",2016-01-28,"Open de France ALSTOM",2007-07-01
3780,"Tournament ID Not Valid",2016-01-28,NA,NA
3781,"Tournament Results Collected",2016-01-28,"Estoril Challenge de Portugal",2007-07-01
3782,"Tournament Results Collected",2016-01-28,"UBS Japan Golf Tour Championship",2007-07-01
3783,"Tournament Results Collected",2016-01-28,"ATB Financial Classic",2007-07-01
3784,"Tournament Results Collected",2016-01-28,"AT&T National",2007-07-08
3785,"Tournament Results Collected",2016-01-28,"Legend Financial Group Classic",2007-07-08
3786,"Tournament Results Collected",2016-01-28,"Smurfit Kappa European Open",2007-07-08
